round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,active_player,action_type,camel,trap_type,trap_location,player_1_trap_location,player_1_trap_type,distance,player_3_trap_location,player_3_trap_type,bet_type,player_0_trap_location,player_0_trap_type
0,0,1,True,1,1,True,0,0,True,0,2,True,1,0,True,2,2,2,2,,,,,,,,,,,,,
1,0,1,True,1,1,True,0,0,True,0,2,True,1,0,True,2,2,2,2,0.0,round_winner_bet,c_3,,,,,,,,,,
2,0,1,True,1,1,True,0,0,True,0,2,True,1,0,True,2,2,2,2,1.0,move_trap,,-1.0,3.0,3.0,-1.0,,,,,,
3,0,1,True,1,1,True,0,0,True,0,2,True,1,0,True,2,2,2,2,2.0,round_winner_bet,c_1,,,3.0,-1.0,,,,,,
4,0,1,True,1,1,True,0,0,True,2,0,False,1,0,True,2,3,2,3,3.0,move_camel,c_3,,,3.0,-1.0,2.0,,,,,
5,0,1,True,1,1,True,0,0,True,2,0,False,1,0,True,2,3,2,3,0.0,round_winner_bet,c_4,,,3.0,-1.0,,,,,,
6,0,1,True,4,0,False,0,0,True,2,0,False,1,0,True,2,4,2,3,1.0,move_camel,c_1,,,3.0,-1.0,3.0,,,,,
7,0,1,True,4,0,False,0,0,True,2,0,False,1,0,True,2,4,2,3,2.0,round_winner_bet,c_1,,,3.0,-1.0,,,,,,
8,0,1,True,4,0,False,0,0,True,2,0,False,1,0,True,2,4,2,3,3.0,round_winner_bet,c_1,,,3.0,-1.0,,,,,,
9,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,0.0,move_camel,c_4,,,3.0,-1.0,3.0,,,,,
10,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,1.0,round_winner_bet,c_4,,,3.0,-1.0,,,,,,
11,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,2.0,round_winner_bet,c_4,,,3.0,-1.0,,,,,,
12,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,3.0,move_trap,,-1.0,1.0,3.0,-1.0,,1.0,-1.0,,,
13,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,0.0,game_bet,c_2,,,3.0,-1.0,,1.0,-1.0,lose,,
14,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,1.0,game_bet,c_2,,,3.0,-1.0,,1.0,-1.0,lose,,
15,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,2.0,game_bet,c_2,,,3.0,-1.0,,1.0,-1.0,lose,,
16,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,3.0,game_bet,c_2,,,3.0,-1.0,,1.0,-1.0,lose,,
17,0,1,True,4,0,False,0,0,True,2,0,False,4,1,False,3,4,2,3,0.0,game_bet,c_1,,,3.0,-1.0,,1.0,-1.0,win,,
18,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,1.0,move_camel,c_0,,,3.0,-1.0,0.0,1.0,-1.0,,,
19,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,2.0,game_bet,c_0,,,3.0,-1.0,,1.0,-1.0,lose,,
20,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,3.0,game_bet,c_0,,,3.0,-1.0,,1.0,-1.0,lose,,
21,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,0.0,game_bet,c_0,,,3.0,-1.0,,1.0,-1.0,lose,,
22,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,1.0,game_bet,c_0,,,3.0,-1.0,,1.0,-1.0,lose,,
23,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,2.0,game_bet,c_4,,,3.0,-1.0,,1.0,-1.0,win,,
24,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,3.0,game_bet,c_4,,,3.0,-1.0,,1.0,-1.0,win,,
25,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,0.0,game_bet,c_4,,,3.0,-1.0,,1.0,-1.0,win,,
26,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,1.0,game_bet,c_4,,,3.0,-1.0,,1.0,-1.0,win,,
27,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,2.0,game_bet,c_1,,,3.0,-1.0,,1.0,-1.0,win,,
28,0,0,False,4,0,False,0,1,True,2,0,False,4,1,False,3,5,2,4,3.0,game_bet,c_1,,,3.0,-1.0,,1.0,-1.0,win,,
29,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,0.0,move_camel,c_2,,,3.0,-1.0,2.0,1.0,-1.0,,,
30,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,1.0,round_winner_bet,c_4,,,3.0,-1.0,,1.0,-1.0,,,
31,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,2.0,round_winner_bet,c_4,,,3.0,-1.0,,1.0,-1.0,,,
32,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,3.0,round_winner_bet,c_1,,,3.0,-1.0,,1.0,-1.0,,,
33,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,0.0,move_trap,,-1.0,5.0,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
34,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,1.0,round_winner_bet,c_4,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
35,0,0,True,4,0,True,2,1,True,2,0,True,4,1,True,8,8,6,5,2.0,round_winner_bet,c_1,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
36,0,0,True,4,0,False,2,1,True,2,0,True,4,1,True,9,8,6,6,3.0,move_camel,c_1,,,3.0,-1.0,0.0,1.0,-1.0,,5.0,-1.0
37,0,0,False,4,0,False,2,1,True,2,0,True,4,1,True,10,8,6,7,0.0,move_camel,c_0,,,3.0,-1.0,0.0,1.0,-1.0,,5.0,-1.0
38,0,0,False,4,0,False,2,1,True,2,0,True,4,1,True,10,8,6,7,1.0,game_bet,c_1,,,3.0,-1.0,,1.0,-1.0,win,5.0,-1.0
39,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,2.0,move_camel,c_3,,,3.0,-1.0,2.0,1.0,-1.0,,5.0,-1.0
40,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,3.0,round_winner_bet,c_2,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
41,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,0.0,round_winner_bet,c_3,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
42,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,1.0,game_bet,c_3,,,3.0,-1.0,,1.0,-1.0,win,5.0,-1.0
43,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,2.0,game_bet,c_3,,,3.0,-1.0,,1.0,-1.0,win,5.0,-1.0
44,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,3.0,game_bet,c_3,,,3.0,-1.0,,1.0,-1.0,win,5.0,-1.0
45,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,0.0,game_bet,c_3,,,3.0,-1.0,,1.0,-1.0,win,5.0,-1.0
46,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,1.0,round_winner_bet,c_2,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
47,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,2.0,round_winner_bet,c_3,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
48,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,3.0,round_winner_bet,c_2,,,3.0,-1.0,,1.0,-1.0,,5.0,-1.0
49,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,0.0,move_trap,,-1.0,6.0,3.0,-1.0,,1.0,-1.0,,6.0,-1.0
50,0,0,False,4,0,False,4,3,True,4,2,False,4,1,True,10,8,7,7,1.0,round_winner_bet,c_3,,,3.0,-1.0,,1.0,-1.0,,6.0,-1.0
51,0,0,False,4,0,False,7,0,False,4,2,False,4,1,True,10,8,8,7,2.0,move_camel,c_2,,,3.0,-1.0,3.0,1.0,-1.0,,6.0,-1.0
52,0,0,False,4,0,False,7,0,False,4,2,False,4,1,True,10,8,8,7,3.0,move_trap,,-1.0,11.0,3.0,-1.0,,11.0,-1.0,,6.0,-1.0
53,0,0,True,4,0,True,7,0,True,5,1,True,5,0,True,12,10,7,13,0.0,move_camel,c_4,,,3.0,-1.0,1.0,11.0,-1.0,,6.0,-1.0
54,0,0,True,4,0,True,7,0,True,5,1,True,5,0,True,12,10,7,13,1.0,round_winner_bet,c_2,,,3.0,-1.0,,11.0,-1.0,,6.0,-1.0
55,0,0,True,4,0,True,7,0,True,5,1,True,5,0,True,12,10,7,13,2.0,round_winner_bet,c_2,,,3.0,-1.0,,11.0,-1.0,,6.0,-1.0
56,0,0,True,4,0,True,7,0,True,5,1,True,5,0,True,12,10,7,13,3.0,round_winner_bet,c_3,,,3.0,-1.0,,11.0,-1.0,,6.0,-1.0
57,0,0,True,4,0,True,7,0,True,5,1,True,5,0,True,12,10,7,13,0.0,round_winner_bet,c_2,,,3.0,-1.0,,11.0,-1.0,,6.0,-1.0
58,0,0,True,4,0,True,7,0,True,5,1,True,5,0,True,12,10,7,13,1.0,move_trap,,-1.0,8.0,8.0,-1.0,,11.0,-1.0,,6.0,-1.0
59,2,0,False,4,0,True,7,0,True,5,1,True,5,0,True,12,10,8,13,2.0,move_camel,c_0,,,8.0,-1.0,2.0,11.0,-1.0,,6.0,-1.0
60,2,0,False,7,1,False,7,0,True,5,1,True,5,0,True,12,10,8,14,3.0,move_camel,c_1,,,8.0,-1.0,3.0,11.0,-1.0,,6.0,-1.0
61,2,0,False,7,1,False,7,0,True,5,1,True,5,0,True,12,10,8,14,0.0,round_winner_bet,c_1,,,8.0,-1.0,,11.0,-1.0,,6.0,-1.0
62,2,0,False,7,1,False,7,0,True,5,1,True,5,0,True,12,10,8,14,1.0,round_winner_bet,c_1,,,8.0,-1.0,,11.0,-1.0,,6.0,-1.0
63,2,0,False,7,1,False,7,0,True,5,1,True,5,0,True,12,10,8,14,2.0,round_winner_bet,c_1,,,8.0,-1.0,,11.0,-1.0,,6.0,-1.0
64,2,0,False,7,1,False,7,0,True,5,1,True,5,0,True,12,10,8,14,3.0,move_trap,,1.0,10.0,8.0,-1.0,,10.0,1.0,,6.0,-1.0
65,2,0,False,7,2,False,7,1,True,7,0,False,5,0,True,13,11,8,14,0.0,move_camel,c_3,,,8.0,-1.0,2.0,10.0,1.0,,6.0,-1.0
66,2,0,False,7,2,False,7,1,True,7,0,False,5,0,True,13,11,8,14,1.0,move_trap,,1.0,4.0,4.0,1.0,,10.0,1.0,,6.0,-1.0
67,2,0,False,7,2,False,7,1,True,7,0,False,7,3,False,13,11,9,14,2.0,move_camel,c_4,,,4.0,1.0,2.0,10.0,1.0,,6.0,-1.0
68,2,0,False,7,2,False,7,1,True,7,0,False,7,3,False,13,11,9,14,3.0,round_winner_bet,c_4,,,4.0,1.0,,10.0,1.0,,6.0,-1.0
69,2,0,False,7,2,False,7,1,True,7,0,False,7,3,False,13,11,9,14,0.0,round_winner_bet,c_4,,,4.0,1.0,,10.0,1.0,,6.0,-1.0
70,2,0,False,7,2,False,7,1,True,7,0,False,7,3,False,13,11,9,14,1.0,round_winner_bet,c_4,,,4.0,1.0,,10.0,1.0,,6.0,-1.0
71,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,2.0,move_camel,c_2,,,4.0,1.0,4.0,10.0,1.0,,6.0,-1.0
72,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,3.0,move_trap,,1.0,15.0,4.0,1.0,,15.0,1.0,,6.0,-1.0
73,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,0.0,round_winner_bet,c_4,,,4.0,1.0,,15.0,1.0,,6.0,-1.0
74,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,1.0,round_winner_bet,c_4,,,4.0,1.0,,15.0,1.0,,6.0,-1.0
75,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,2.0,round_winner_bet,c_1,,,4.0,1.0,,15.0,1.0,,6.0,-1.0
76,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,3.0,round_winner_bet,c_4,,,4.0,1.0,,15.0,1.0,,6.0,-1.0
77,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,0.0,round_winner_bet,c_1,,,4.0,1.0,,15.0,1.0,,6.0,-1.0
78,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,1.0,move_trap,,1.0,12.0,12.0,1.0,,15.0,1.0,,6.0,-1.0
79,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,2.0,round_winner_bet,c_2,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
80,2,0,True,11,1,True,11,0,True,7,0,True,11,2,True,16,13,10,19,3.0,round_winner_bet,c_1,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
81,2,0,True,11,1,True,11,0,True,9,0,False,11,2,True,17,13,10,19,0.0,move_camel,c_3,,,12.0,1.0,2.0,15.0,1.0,,6.0,-1.0
82,2,0,True,11,1,True,11,0,True,9,0,False,13,0,False,17,15,10,19,1.0,move_camel,c_4,,,12.0,1.0,2.0,15.0,1.0,,6.0,-1.0
83,2,0,True,11,1,True,11,0,True,9,0,False,13,0,False,17,15,10,19,2.0,round_winner_bet,c_2,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
84,2,0,True,11,1,True,11,0,True,9,0,False,13,0,False,17,15,10,19,3.0,round_winner_bet,c_2,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
85,2,0,True,13,1,False,11,0,True,9,0,False,13,0,False,18,16,10,19,0.0,move_camel,c_1,,,12.0,1.0,2.0,15.0,1.0,,6.0,-1.0
86,2,0,True,13,1,False,14,0,False,9,0,False,13,0,False,18,17,10,19,1.0,move_camel,c_2,,,12.0,1.0,3.0,15.0,1.0,,6.0,-1.0
87,3,0,True,13,1,True,14,0,True,9,0,True,13,0,True,18,16,20,21,2.0,move_camel,c_0,,,12.0,1.0,1.0,15.0,1.0,,6.0,-1.0
88,3,0,True,13,1,True,14,0,True,9,0,True,13,0,True,18,16,20,21,3.0,round_winner_bet,c_1,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
89,3,0,True,13,1,True,14,0,True,9,0,True,13,0,True,18,16,20,21,0.0,round_winner_bet,c_1,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
90,3,0,True,13,1,True,14,0,True,9,0,True,13,0,True,18,16,20,21,1.0,round_winner_bet,c_2,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
91,3,0,True,13,1,True,14,0,True,9,0,True,13,0,True,18,16,20,21,2.0,round_winner_bet,c_1,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
92,3,0,True,13,1,True,14,0,True,9,0,True,13,0,True,18,16,20,21,3.0,round_winner_bet,c_2,,,12.0,1.0,,15.0,1.0,,6.0,-1.0
93,3,0,True,16,0,True,14,0,True,9,0,True,13,0,True,22,20,35,34,0.0,move_camel,c_1,,,12.0,1.0,3.0,15.0,1.0,,6.0,-1.0
