game_id,turn_id,round_number,player_id,action_type,coin_before,coin_after,coin_delta,player_final_coins,player_won_game,payout,camel,trap_type,trap_location,distance,bet_type,game_bet_key
0,1,1,0,round_winner_bet,2,2,0,22,False,-1,c_3,,,,,
0,2,1,1,move_trap,2,2,0,20,False,0,,-1.0,3.0,,,
0,3,1,2,round_winner_bet,2,2,0,35,True,0,c_1,,,,,
0,4,1,3,move_camel,2,3,1,34,False,1,c_3,,,2.0,,
0,5,1,0,round_winner_bet,2,2,0,22,False,5,c_4,,,,,
0,6,1,1,move_camel,3,4,1,20,False,1,c_1,,,3.0,,
0,7,1,2,round_winner_bet,2,2,0,35,True,1,c_1,,,,,
0,8,1,3,round_winner_bet,3,3,0,34,False,1,c_1,,,,,
0,9,1,0,move_camel,2,3,1,22,False,1,c_4,,,3.0,,
0,10,1,1,round_winner_bet,4,4,0,20,False,3,c_4,,,,,
0,11,1,2,round_winner_bet,2,2,0,35,True,2,c_4,,,,,
0,12,1,3,move_trap,3,3,0,34,False,0,,-1.0,1.0,,,
0,13,1,0,game_bet,3,3,0,22,False,0,c_2,,,,lose,"('lose', 'c_2')"
0,14,1,1,game_bet,4,4,0,20,False,-1,c_2,,,,lose,"('lose', 'c_2')"
0,15,1,2,game_bet,2,2,0,35,True,-1,c_2,,,,lose,"('lose', 'c_2')"
0,16,1,3,game_bet,3,3,0,34,False,-1,c_2,,,,lose,"('lose', 'c_2')"
0,17,1,0,game_bet,3,3,0,22,False,8,c_1,,,,win,"('win', 'c_1')"
0,18,1,1,move_camel,4,5,1,20,False,1,c_0,,,0.0,,
0,19,1,2,game_bet,2,2,0,35,True,8,c_0,,,,lose,"('lose', 'c_0')"
0,20,1,3,game_bet,4,4,0,34,False,5,c_0,,,,lose,"('lose', 'c_0')"
0,21,1,0,game_bet,3,3,0,22,False,3,c_0,,,,lose,"('lose', 'c_0')"
0,22,1,1,game_bet,5,5,0,20,False,2,c_0,,,,lose,"('lose', 'c_0')"
0,23,1,2,game_bet,2,2,0,35,True,-1,c_4,,,,win,"('win', 'c_4')"
0,24,1,3,game_bet,4,4,0,34,False,-1,c_4,,,,win,"('win', 'c_4')"
0,25,1,0,game_bet,3,3,0,22,False,-1,c_4,,,,win,"('win', 'c_4')"
0,26,1,1,game_bet,5,5,0,20,False,-1,c_4,,,,win,"('win', 'c_4')"
0,27,1,2,game_bet,2,2,0,35,True,5,c_1,,,,win,"('win', 'c_1')"
0,28,1,3,game_bet,4,4,0,34,False,3,c_1,,,,win,"('win', 'c_1')"
0,29,2,0,move_camel,3,8,5,22,False,1,c_2,,,2.0,,
0,30,2,1,round_winner_bet,8,8,0,20,False,-1,c_4,,,,,
0,31,2,2,round_winner_bet,6,6,0,35,True,-1,c_4,,,,,
0,32,2,3,round_winner_bet,5,5,0,34,False,-1,c_1,,,,,
0,33,2,0,move_trap,8,8,0,22,False,0,,-1.0,5.0,,,
0,34,2,1,round_winner_bet,8,8,0,20,False,6,c_4,,,,,
0,35,2,2,round_winner_bet,6,6,0,35,True,-1,c_1,,,,,
0,36,2,3,move_camel,5,6,1,34,False,1,c_1,,,0.0,,
0,37,2,0,move_camel,9,10,1,22,False,1,c_0,,,0.0,,
0,38,2,1,game_bet,8,8,0,20,False,2,c_1,,,,win,"('win', 'c_1')"
0,39,2,2,move_camel,6,7,1,35,True,1,c_3,,,2.0,,
0,40,2,3,round_winner_bet,7,7,0,34,False,5,c_2,,,,,
0,41,2,0,round_winner_bet,10,10,0,22,False,1,c_3,,,,,
0,42,2,1,game_bet,8,8,0,20,False,-1,c_3,,,,win,"('win', 'c_3')"
0,43,2,2,game_bet,7,7,0,35,True,-1,c_3,,,,win,"('win', 'c_3')"
0,44,2,3,game_bet,7,7,0,34,False,-1,c_3,,,,win,"('win', 'c_3')"
0,45,2,0,game_bet,10,10,0,22,False,-1,c_3,,,,win,"('win', 'c_3')"
0,46,2,1,round_winner_bet,8,8,0,20,False,3,c_2,,,,,
0,47,2,2,round_winner_bet,7,7,0,35,True,1,c_3,,,,,
0,48,2,3,round_winner_bet,7,7,0,34,False,2,c_2,,,,,
0,49,2,0,move_trap,10,10,0,22,False,0,,-1.0,6.0,,,
0,50,2,1,round_winner_bet,8,8,0,20,False,6,c_3,,,,,
0,51,2,2,move_camel,7,8,1,35,True,1,c_2,,,3.0,,
0,52,2,3,move_trap,7,7,0,34,False,0,,-1.0,11.0,,,
0,53,3,0,move_camel,10,12,2,22,False,0,c_4,,,1.0,,
0,54,3,1,round_winner_bet,10,10,0,20,False,-1,c_2,,,,,
0,55,3,2,round_winner_bet,7,7,0,35,True,-1,c_2,,,,,
0,56,3,3,round_winner_bet,13,13,0,34,False,-1,c_3,,,,,
0,57,3,0,round_winner_bet,12,12,0,22,False,-1,c_2,,,,,
0,58,3,1,move_trap,10,10,0,20,False,0,,-1.0,8.0,,,
0,59,3,2,move_camel,7,8,1,35,True,0,c_0,,,2.0,,
0,60,3,3,move_camel,13,14,1,34,False,1,c_1,,,3.0,,
0,61,3,0,round_winner_bet,12,12,0,22,False,1,c_1,,,,,
0,62,3,1,round_winner_bet,10,10,0,20,False,1,c_1,,,,,
0,63,3,2,round_winner_bet,8,8,0,35,True,1,c_1,,,,,
0,64,3,3,move_trap,14,14,0,34,False,0,,1.0,10.0,,,
0,65,3,0,move_camel,12,13,1,22,False,0,c_3,,,2.0,,
0,66,3,1,move_trap,11,11,0,20,False,0,,1.0,4.0,,,
0,67,3,2,move_camel,8,9,1,35,True,0,c_4,,,2.0,,
0,68,3,3,round_winner_bet,14,14,0,34,False,5,c_4,,,,,
0,69,3,0,round_winner_bet,13,13,0,22,False,3,c_4,,,,,
0,70,3,1,round_winner_bet,11,11,0,20,False,2,c_4,,,,,
0,71,4,2,move_camel,9,10,1,35,True,1,c_2,,,4.0,,
0,72,4,3,move_trap,19,19,0,34,False,0,,1.0,15.0,,,
0,73,4,0,round_winner_bet,16,16,0,22,False,0,c_4,,,,,
0,74,4,1,round_winner_bet,13,13,0,20,False,-1,c_4,,,,,
0,75,4,2,round_winner_bet,10,10,0,35,True,1,c_1,,,,,
0,76,4,3,round_winner_bet,19,19,0,34,False,-1,c_4,,,,,
0,77,4,0,round_winner_bet,16,16,0,22,False,1,c_1,,,,,
0,78,4,1,move_trap,13,13,0,20,False,0,,1.0,12.0,,,
0,79,4,2,round_winner_bet,10,10,0,35,True,4,c_2,,,,,
0,80,4,3,round_winner_bet,19,19,0,34,False,1,c_1,,,,,
0,81,4,0,move_camel,16,17,1,22,False,1,c_3,,,2.0,,
0,82,4,1,move_camel,13,15,2,20,False,1,c_4,,,2.0,,
0,83,4,2,round_winner_bet,10,10,0,35,True,3,c_2,,,,,
0,84,4,3,round_winner_bet,19,19,0,34,False,2,c_2,,,,,
0,85,4,0,move_camel,17,18,1,22,False,1,c_1,,,2.0,,
0,86,4,1,move_camel,16,17,1,20,False,1,c_2,,,3.0,,
0,87,5,2,move_camel,10,20,10,35,True,1,c_0,,,1.0,,
0,88,5,3,round_winner_bet,21,21,0,34,False,5,c_1,,,,,
0,89,5,0,round_winner_bet,18,18,0,22,False,3,c_1,,,,,
0,90,5,1,round_winner_bet,16,16,0,20,False,1,c_2,,,,,
0,91,5,2,round_winner_bet,20,20,0,35,True,2,c_1,,,,,
0,92,5,3,round_winner_bet,21,21,0,34,False,1,c_2,,,,,
0,93,5,0,move_camel,18,22,4,22,False,1,c_1,,,3.0,,
